lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,150,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,32141.236316852406,68182.18902117836,0.282700123607398
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146759.04791429924,231425.29916824301,0.9833444365709944
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146818.8119149376,231627.2657042265,0.983096563218383
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146757.67549479168,231425.50107185563,0.9832242111589764
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146820.95573905492,231628.6406737888,0.9831450490259503
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146760.25549982244,231426.14715240532,0.9833952333592019
1,0,150,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146818.96877172941,231627.38126938895,0.983099582232441
1,0,150,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22694.21580847538,43918.041892140835,0.18903688698380017
1,0,150,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,30334.240386258352,50920.43413347823,0.36774245540965345
1,0,150,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,28783.83750591856,47754.40659470411,0.295992106408824
1,0,150,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,26617.31332230597,51704.90862175066,0.24758353885639645
1,0,150,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,23160.56207208807,39759.851503188926,0.22900059865075179
1,0,150,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31221.318818584827,56060.782721984986,0.40626190198293244
1,0,150,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22835.491461292615,40365.14025336328,0.1994810724282532
1,0,150,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,24482.978339713227,48812.71108531842,0.20082254524624293
