estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AC,1997-02-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.48,1.69,0.42,0.09218516667,0.645,0.574,0.176,2.29,5513762.80209945
AC,1997-03-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.73,2.21,1.16,0.08573694737,0.645,0.574,0.176,2.15,5513762.80209945
AC,1997-04-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.23,3.1,0.59,0.07841266667,0.645,0.574,0.176,2.15,5513762.80209945
AC,1997-05-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.86,3.53,0.3,0.07863325,0.645,0.574,0.176,2.02,5513762.80209945
AC,1997-06-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,1.11,4.09,0.7,0.07593642857,0.645,0.574,0.176,1.92,5513762.80209945
AC,1997-07-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.51,4.31,0.09,0.069203,0.645,0.574,0.176,1.86,5513762.80209945
AC,1997-08-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,1.18,4.29,-0.04,0.07495242857,0.645,0.574,0.176,1.86,5513762.80209945
AC,1997-09-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.27,4.36,0.59,0.07174245455,0.645,0.574,0.176,1.85,5513762.80209945
AC,1997-10-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.15,4.6,0.34,0.07215956522,0.645,0.574,0.176,1.94,5513762.80209945
AC,1997-11-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.54,4.77,0.83,0.15001665,0.645,0.574,0.176,2.08,5513762.80209945
AC,1997-12-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.23,5.22,0.69,0.1332272727,0.645,0.574,0.176,2.77,5513762.80209945
AC,1998-01-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.33,0.71,0.88,0.1255526667,0.645,0.574,0.176,2.75,5656166.83373705
AC,1998-02-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.48,1.17,0.02,0.117148,0.645,0.574,0.176,2.79,5656166.83373705
AC,1998-03-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.47,1.52,0.23,0.09899745455,0.645,0.574,0.176,2.84,5656166.83373705
AC,1998-04-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,-0.5,1.76,-0.13,0.08910821053,0.645,0.574,0.176,2.82,5656166.83373705
AC,1998-05-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.98,2.27,0.23,0.08087735,0.645,0.574,0.176,2.79,5656166.83373705
AC,1998-06-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.39,2.29,0.28,0.07572909524,0.645,0.574,0.176,2.8,5656166.83373705
AC,1998-07-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.34,2.17,-0.38,0.07347834783,0.645,0.574,0.176,2.77,5656166.83373705
AC,1998-08-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.22,1.65,-0.17,0.06981128571,0.645,0.574,0.176,2.73,5656166.83373705
AC,1998-09-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.01,1.42,-0.02,0.1170751905,0.645,0.574,0.176,2.74,5656166.83373705
