data;estados;consumo;y_pred
2016-10-01;AM;52073,0;
2016-11-01;AM;52048,0;
2016-12-01;AM;53390,0;
2017-01-01;AM;61287,0;
2017-02-01;AM;44068,0;
2017-03-01;AM;62847,0;
2017-04-01;AM;30374,0;
2017-05-01;AM;60003,0;
2017-06-01;AM;81014,0;
2017-07-01;AM;64862,0;59344,843200081246
2017-08-01;AM;49885,0;69107,378919122
2017-09-01;AM;53130,0;59785,618068561875
2017-10-01;AM;57796,0;60148,66286678433
2017-11-01;AM;47026,0;56658,53047541056
2017-12-01;AM;74919,0;54013,71869205737
2018-01-01;AM;34733,0;49526,38966462029
2018-02-01;AM;15022,0;48578,05652055085
2018-03-01;AM;20879,0;47297,51438247204
2018-04-01;AM;36409,0;49639,50596000976
2018-05-01;AM;22277,0;50433,50130252258
2018-06-01;AM;20529,0;47535,91686814325
2018-07-01;AM;37061,0;46535,56568612135
2018-08-01;AM;23387,0;56114,667652348115
2018-09-01;AM;38399,0;45987,65663869155
2018-10-01;AM;39652,0;46688,58911624011
2018-11-01;AM;40204,0;44865,91054807931
2018-12-01;AM;21625,0;42325,355793820214
2019-01-01;AM;42731,0;47595,88736227788
2019-02-01;AM;36026,0;49062,014752970776
2019-03-01;AM;34609,0;47884,839155885435
2019-04-01;AM;40787,0;49984,25622945318
2019-05-01;AM;39823,0;52301,86355469479
2019-06-01;AM;39957,0;48050,129473578825
2019-07-01;AM;52048,0;49034,81255079372
2019-08-01;AM;53567,0;59618,76388247
2019-09-01;AM;46239,0;49390,69194097011
2019-10-01;AM;51066,0;52923,322653507406
2019-11-01;AM;51684,0;50514,17837834911
2019-12-01;AM;44907,0;47057,17666513848
2003-01-01;AP;10392,0;
2003-02-01;AP;6857,0;
2003-03-01;AP;7011,0;
2003-04-01;AP;7122,0;
2003-05-01;AP;5267,0;
2003-06-01;AP;5539,0;
2003-07-01;AP;7714,0;
2003-08-01;AP;7740,0;
2003-09-01;AP;6882,0;
2003-10-01;AP;7066,0;
2003-11-01;AP;5797,0;
2003-12-01;AP;7706,0;
2004-01-01;AP;10000,0;
2004-02-01;AP;6136,0;
2004-03-01;AP;5122,0;
2004-04-01;AP;3926,0;
2004-05-01;AP;6197,0;
2004-06-01;AP;7552,0;
2004-07-01;AP;5796,0;
2004-08-01;AP;5979,0;
2004-09-01;AP;7271,0;
2004-10-01;AP;6552,0;
2004-11-01;AP;8809,0;
2004-12-01;AP;6668,0;
2005-01-01;AP;9759,0;
2005-02-01;AP;4782,0;
2005-03-01;AP;7803,0;
2005-04-01;AP;4400,0;
2005-05-01;AP;4460,0;
2005-06-01;AP;10613,0;
2005-07-01;AP;7421,0;
2005-08-01;AP;11699,0;
2005-09-01;AP;9440,0;
2005-10-01;AP;7688,0;
2005-11-01;AP;11977,0;
2005-12-01;AP;14155,0;
2006-01-01;AP;6912,0;
2006-02-01;AP;6760,0;
2006-03-01;AP;14450,0;
2006-04-01;AP;8618,0;
2006-05-01;AP;8818,0;
2006-06-01;AP;7726,0;
2006-07-01;AP;6999,0;
2006-08-01;AP;9315,0;
2006-09-01;AP;12122,0;
2006-10-01;AP;9287,0;
2006-11-01;AP;14666,0;
2006-12-01;AP;9867,0;
2007-01-01;AP;14985,0;
2007-02-01;AP;10988,0;
2007-03-01;AP;16338,0;
2007-04-01;AP;8870,0;
2007-05-01;AP;11095,0;
2007-06-01;AP;6493,0;
2007-07-01;AP;9051,0;
2007-08-01;AP;11339,0;
2007-09-01;AP;15643,0;
2007-10-01;AP;5969,0;
2007-11-01;AP;10398,0;
2007-12-01;AP;13877,0;
2008-01-01;AP;9107,0;
2008-02-01;AP;7360,0;
2008-03-01;AP;13530,0;
2008-04-01;AP;6724,0;
2008-05-01;AP;9963,0;
2008-06-01;AP;10101,0;
2008-07-01;AP;7768,0;
2008-08-01;AP;11920,0;
2008-09-01;AP;7539,0;
2008-10-01;AP;11505,0;
2008-11-01;AP;10349,0;
2008-12-01;AP;10500,0;
2009-01-01;AP;11810,0;
2009-02-01;AP;4505,0;
2009-03-01;AP;9672,0;
2009-04-01;AP;6741,0;
2009-05-01;AP;7113,0;
2009-06-01;AP;6048,0;
2009-07-01;AP;8129,0;
2009-08-01;AP;9164,0;
2009-09-01;AP;9802,0;
2009-10-01;AP;13503,0;
